Time,Input,Output
88.6799154281616,2.02383585255325,102.823733960517
88.7999153137207,1.9692315827505,102.64218425999
88.9199151992798,1.91587688756475,102.455187169142
89.0399150848389,1.86249149641104,102.266842129577
89.1599149703979,1.80983794292247,102.078975350304
89.279914855957,1.75732718261506,101.891897354151
89.3999147415161,1.70338893383693,101.706762550005
89.5199146270752,1.65215213167556,101.522613796985
89.6399145126343,1.6016275787194,101.337578738497
89.7599143981934,1.55222151559026,101.154116304898
89.8799142837524,1.50314759083072,100.972361045339
89.9999141693115,1.45263440038555,100.792564055115
90.1199140548706,1.40186615937368,100.61491197276
90.2399139404297,1.35102155943673,100.439389329477
90.3599138259888,1.29897263549024,100.265935864326
90.4799137115479,1.25002881993164,100.094447116084
90.5999135971069,1.2044623933669,99.9247112801148
90.719913482666,1.15985738580709,99.7565136772104
90.8399133682251,1.11491782359622,99.5897490376237
90.9599132537842,1.07011310369763,99.4245209980255
91.0799131393433,1.02693381808681,99.2607799770363
91.1999130249023,0.982274951571441,99.0987772306748
91.3199129104614,0.938840128099713,98.9423981518614
91.4399127960205,0.892878967273347,98.7896582661674
91.5599126815796,0.846586702765677,98.6409356642914
91.6799125671387,0.801666848964246,98.4955881056279
91.7999124526978,0.769406807332217,98.3515125901216
91.9199123382568,0.727254727311319,98.2100465274745
92.0399122238159,0.683116789739913,98.0851074067727
92.159912109375,0.637962425156843,97.9652549226485
92.2799119949341,0.600053841013811,97.8470326693833
92.3999118804932,0.560142901801363,97.73032101866
92.5199117660522,0.518942525689766,97.6151278147563
92.6399116516113,0.474792491133691,97.5016863561605
92.7599115371704,0.430419898051049,97.3900155605943
92.8799114227295,0.386351919070925,97.2790683988256
92.9999113082886,0.34601679222699,97.1611411738392
93.1199111938477,0.304851547404311,97.0362657738185
93.2399110794067,0.267244888814524,96.9111398331322
93.3599109649658,0.231831098473442,96.7831935497105
93.4799108505249,0.199752388536098,96.6563424518147
93.599910736084,0.168860286792651,96.530225725546
93.7199106216431,0.134124320378859,96.4051074766947
93.8399105072021,0.0975643652818121,96.2814173660657
93.9599103927612,0.0589931447040186,96.1594730425216
94.0799102783203,0.0203069254393853,96.0386712103939
94.1999101638794,-0.0143012200120154,95.9161684951317
94.3199100494385,-0.0541024780943644,95.7909705478751
94.4399099349976,-0.0897893555692519,95.6662583394171
94.5599098205566,-0.121564074888596,95.5350008554687
94.6799097061157,-0.155138043483987,95.40410958189
94.7999095916748,-0.186800264114865,95.2746344993524
94.9199094772339,-0.216742235434296,95.1464343691434
95.039909362793,-0.250622595436397,95.0196501201164
95.1599092483521,-0.283697039925315,94.8944051720708
95.2799091339111,-0.316795310665412,94.7707804569185
95.3999090194702,-0.348824366964188,94.6488123490471
95.5199089050293,-0.378524704471879,94.5286706886689
95.6399087905884,-0.414012463596137,94.4104766215356
95.7599086761475,-0.445568163510792,94.294191322689
95.8799085617065,-0.475723089531854,94.1795198299448
95.9999084472656,-0.500931467011441,94.0659327560442
96.1199083328247,-0.528751049777874,93.9531896641606
96.2399082183838,-0.552455452999602,93.8431225272353
96.3599081039429,-0.580981699691144,93.7356063470372
96.479907989502,-0.613161122495882,93.6362372039782
96.599907875061,-0.65067366413804,93.5408478801948
96.7199077606201,-0.680613509579011,93.4477563164855
96.8399076461792,-0.712009766419243,93.3523140716718
