h,t,accel,grav,acgx,fr,thr
h,t,accel,grav,acgx,fr,thr
51980.7885005237,35.1797507934279,7.37752230448452,1.50851660737847,8.05523552827287,1.29633659390469,1.8742453697591
51949.885610109,35.1614940058613,7.37805149346828,1.50856516860685,8.07780287117193,1.29930890944113,1.87855297739238
51918.9800147603,35.1432404308823,7.3785824900095,1.508613728875,8.10038445949255,1.30228241012118,1.88286623247635
51888.0991958855,35.1250011009585,7.37911298569287,1.50866228820958,8.12296770639019,1.30525579609287,1.88718275778169
51857.2453688199,35.1067775177058,7.37964413504125,1.50871084654959,8.14555068777712,1.30822860258054,1.89150198780044
51826.4175193445,35.0885689457824,7.38017536085952,1.50875940391404,8.16813432085063,1.31120105574804,1.89582483039961
51795.6125934345,35.0703660728617,7.3807055080762,1.50880796031888,8.19073175705302,1.31417514311584,1.90014821008202
51764.8281427131,35.0521745089583,7.38123573146349,1.50885651575789,8.21333453609623,1.31714951338189,1.90446993433096
51734.062706806,35.0339982780801,7.38176776416788,1.50890507019294,8.23593658953341,1.32012303435353,1.90879401141549
51703.3134383564,35.0158304238247,7.38230045136815,1.50895362367195,8.25854768801385,1.32309723453149,1.91312129546539
51672.5765829829,34.9976633887087,7.38283090394709,1.50900217618722,8.28117841410524,1.32607406530987,1.91745091095092
51641.8519728724,34.9795020466808,7.38336143276247,1.5090507277303,8.30382164216854,1.32905214775967,1.92178062002027
51611.1360570414,34.9613512429965,7.38389377195924,1.50909927831614,8.32646981494373,1.33203014520753,1.92611416783234
51580.4275150513,34.9432027940272,7.38442618792468,1.50914782788403,8.34913476362676,1.33500997107012,1.93045435520387
51549.7263804819,34.9250563188153,7.38495810246575,1.50919637649727,8.37181707523565,1.33799180911179,1.93480086388985
51519.0317271783,34.9069115021151,7.38549067193498,1.50924492411694,8.39451711805113,1.34097549940759,1.93915371324719
51488.3426896965,34.8887608292798,7.3860215830938,1.5092934707602,8.41724589016187,1.34396295072348,1.94351034747583
51457.6561700813,34.8706090873223,7.38655257058794,1.50934201643683,8.43999598070674,1.34695284465452,1.94786887239688
51426.9739339545,34.8524574071269,7.38708363443388,1.50939056114356,8.46276598457604,1.34994499036612,1.95222950803601
51396.2954485922,34.8343053917459,7.38761477464807,1.50943910488029,8.48555645025941,1.35293946152137,1.95659170110562
51365.6191858279,34.8161519822409,7.388145991247,1.50948764764297,8.50836877781916,1.35593644702347,1.96095590492703
51334.9461270664,34.7979977958007,7.38867728424715,1.50953618944149,8.53120221817152,1.35893584485279,1.96532202750637
51304.2750047599,34.7798487407368,7.389209811416,1.50958473025379,8.55404784963275,1.36193623360629,1.96969276569857
51275.0276688021,34.7626451006685,7.38974241535249,1.50963327006532,8.57569682076421,1.36477424028703,1.97383266392928
51246.4941013644,34.7459142499827,7.39027509607321,1.50968180891699,8.59675473495676,1.36753184590432,1.97786049777604
51217.9630287944,34.7291822362796,7.39080727446881,1.50973034675876,8.61783113748593,1.37029164854966,1.98189478545203
51189.4332108554,34.7124461296921,7.39134068793378,1.50977888364751,8.6389302671494,1.37305389905305,1.98593574183918
51160.905980207,34.6957088720711,7.39187417839993,1.50982741955589,8.6600479472106,1.37581824599832,1.98998243040621
51132.3809282484,34.6789660006975,7.39240542837762,1.50987595449626,8.68119083651429,1.37858602179604,1.99403244663783
