Stage,Alt,vTh,Lat,Anom,dAnom
2,45350.5390439592,4295.85934880314,29.1064052581787,178.917008706393,0.391064127608545
2,46070.8829824626,4291.78222829305,29.1218681335449,178.887969984903,0.390636942213165
2,46794.2307374822,4288.49666244413,29.1376647949219,178.857616221814,0.390207524110708
2,47520.7560142456,4284.85891794896,29.1538009643555,178.82652191161,0.389762874525668
2,48250.6151485657,4281.1451958833,29.1702823638916,178.794213443779,0.3893276935838
2,48983.9565842832,4278.12245517053,29.1871089935303,178.761010238131,0.388869847586666
2,49720.966895313,4274.2033778285,29.2042903900146,178.726400200151,0.388404736535443
2,50461.8209719388,4270.74658828529,29.2218322753906,178.690601313185,0.387952755538061
2,51206.6804084787,4266.96774488436,29.2397346496582,178.65351687667,0.387491683488116
2,52046.6341056535,4260.57067865727,29.2602443695068,178.610642703965,0.38678880958062
2,52871.6729433229,4256.16178828584,29.2807121276855,178.568214135059,0.386198029939698
2,53615.716565025,4250.53294981934,29.2994403839111,178.528872253188,0.385729789109239
2,54450.6558258124,4246.04516635013,29.3207588195801,178.482936038421,0.385104906839257
2,55291.1824568463,4240.53550711985,29.3425369262695,178.43545554863,0.384497511456488
2,56137.5298093772,4235.36024156076,29.364782333374,178.385762028708,0.383899685859921
2,56989.9781781165,4230.34843689982,29.3875007629395,178.333657172712,0.383252235184758
2,57848.8501859242,4224.89891096565,29.4107055664063,178.279169284531,0.382610843984101
2,58714.4385824725,4219.12292221643,29.4344043731689,178.222380729963,0.381992718661554
2,59587.0378710665,4214.23203041838,29.4586048126221,178.162678564476,0.3813410999181
2,60467.0029549776,4208.51598665617,29.4833164215088,178.09998634364,0.380671714637781
2,61354.6551300995,4202.92053626899,29.5085487365723,178.034313307281,0.380015876455834
2,62250.3386054905,4197.61053319543,29.5343151092529,177.965435264468,0.379331824764051
2,63154.4420071431,4191.93643702116,29.5606212615967,177.892953019505,0.378654981492973
2,64067.3385574026,4186.43178895664,29.5874805450439,177.816320253553,0.377940768630257
2,64989.4514242681,4180.7571270824,29.6149044036865,177.735634411616,0.377227927894627
2,65921.2065040711,4175.25934234406,29.6429061889648,177.650409559632,0.376492767789536
2,66863.0438562213,4169.61597279377,29.6714973449707,177.560532210314,0.375757540940059
2,67815.4327595439,4163.72420380035,29.7006893157959,177.464892640244,0.375007795787991
2,68778.8508024765,4157.9196552318,29.7304992675781,177.363923452788,0.374261474319934
2,69753.7868373152,4152.50103262975,29.7609367370605,177.256809157673,0.373499667684846
2,70740.7983581722,4146.64780610825,29.7920207977295,177.143112016124,0.372735440401993
2,71740.45389516,4141.07135500433,29.8237628936768,177.021196518015,0.371960652963831
2,72753.3590929741,4135.37169717706,29.8561820983887,176.891853037646,0.37119247371132
2,73780.1340816813,4130.00900132876,29.8892936706543,176.753452676207,0.370456370265094
2,74821.4708558731,4124.71823724686,29.92311668396,176.605221206518,0.369743889872679
2,75878.1181103792,4119.44011812966,29.957670211792,176.445623000717,0.369125385923925
1,84543.0180121856,4030.59793618464,30.248363494873,174.718450313077,0.340769533161721
1,85604.786438101,4037.01850966816,30.2847900390625,174.728884531868,0.348983789601254
1,86640.6876099613,4043.33653492469,30.3205509185791,174.73909863036,0.349712957194461
1,87671.6108742356,4049.64906253346,30.3563652038574,174.749005966379,0.356146301202225
1,88697.5997856054,4055.97447902573,30.3922271728516,174.758593187918,0.358006107001293
1,89718.6840303848,4062.31714740818,30.4281425476074,174.768282712632,0.35410244071056
1,90734.8650747957,4068.6958149919,30.4641075134277,174.778273542063,0.357022277492459
1,91746.1571804192,4075.10576061669,30.5001239776611,174.788243264079,0.354916191598726
